ID,Title,Keywords,Director,Cast,Genres,Vote Average
872585,Oppenheimer,"'husband wife relationship', 'based on novel or book', 'politics', 'atomic bomb', 'patriotism', 'new mexico', 'world war ii', 'atomic bomb test', 'physics', 'biography', 'based on true story', 'physicist', 'jewish american', 'guilt', 'nuclear weapons', 'communism', 'red scare', 'prometheus', 'mccarthyism', '1940s', 'ethics', 'new mexico desert', '20th century', 'manhattan project', 'affair', 'los alamos'",Christopher Nolan,"'Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie', 'Jason Clarke', 'Dylan Arnold', 'Tom Conti', 'James D'Arcy', 'David Dastmalchian', 'Dane DeHaan', 'Alden Ehrenreich', 'Tony Goldwyn', 'Jefferson Hall', 'David Krumholtz', 'Matthew Modine', 'Scott Grimes', 'Kurt Koehler', 'John Gowans', 'Macon Blair', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska', 'Petrie Willink', 'Matthias Schweighöfer', 'Alex Wolff', 'Josh Zuckerman', 'Rory Keane', 'Michael Angarano', 'Emma Dumont', 'Sadie Stratton', 'Britt Kyle', 'Guy Burnet', 'Tom Jenkins', 'Louise Lombard', 'Michael Andrew Baker', 'Jeff Hephner', 'Olli Haaskivi', 'David Rysdahl', 'Josh Peck', 'Jack Quaid', 'Brett DelBuono', 'Gustaf Skarsgård', 'James Urbaniak', 'Trond Fausa Aurvåg', 'Devon Bostick', 'Danny Deferrari', 'Christopher Denham', 'Jessica Erin Martin', 'Ronald Auguste', 'Máté Haumann', 'Olivia Thirlby', 'Jack Cutmore-Scott', 'Harrison Gilbertson', 'James Remar', 'Will Roberts', 'Pat Skipper', 'Steve Coulter', 'Jeremy John Wells', 'Sean Avery', 'Adam Kroeger', 'Drew Kenney', 'Bryce Johnson', 'Flora Nolan', 'Kerry Westcott', 'Christina Hogue', 'Clay Bunker', 'Tyler Beardsley', 'Maria Teresa Zuppetta', 'Kate French', 'Gary Oldman', 'Hap Lawrence', 'Meg Schimelpfenig', 'Matt Snead'","'Drama', 'History'",8.229
507089,Five Nights at Freddy's,"'night shift', 'child murder', 'restaurant', 'custody battle', 'child in peril', 'orphan', 'security guard', 'based on video game', 'duringcreditsstinger', 'troubled past', 'child neglect', 'animatronic', 'abandoned building', 'brother sister relationship', 'ghost child', 'child abduction'",Emma Tammi,"'Josh Hutcherson', 'Piper Rubio', 'Elizabeth Lail', 'Matthew Lillard', 'Mary Stuart Masterson', 'Kat Conner Sterling', 'David Lind', 'Christian Stokes', 'Joseph Poliquin', 'Grant Feely', 'Asher Colton Spence', 'David Huston Doty', 'Liam Hendrix', 'Jophielle Love', 'Tadasay Young', 'Michael P. Sullivan', 'Wyatt Parker', 'Lucas Grant', 'Jessica Blackmore', 'Garrett Hines', 'Ryan Reinike', 'Theodus Crane', 'Julia Belanova', 'Lisa Mackel Smith', 'Xander Mateo', 'Matthew Patrick', 'Bailey Winston', 'Gralen Bryant Banks', 'Cory Kenshin', 'Victoria Patenaude'","'Horror', 'Mystery'",7.992
575264,Mission: Impossible - Dead Reckoning Part One,"'race against time', 'rome, italy', 'chase', 'secret agent', 'sequel', 'intelligence agency', 'rogue agent', 'based on tv series', 'secret government agency', 'northern norway'",Christopher McQuarrie,"'Tom Cruise', 'Hayley Atwell', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Vanessa Kirby', 'Esai Morales', 'Pom Klementieff', 'Henry Czerny', 'Shea Whigham', 'Greg Tarzan Davis', 'Frederick Schmidt', 'Mariela Garriga', 'Cary Elwes', 'Charles Parnell', 'Mark Gatiss', 'Indira Varma', 'Rob Delaney', 'Marcello Walton', 'Brian Law', 'Lincoln Conway', 'Alex James-Phelps', 'Marcin Dorociński', 'Ivan Ivashkin', 'Zahari Baharov', 'Adrian Bouchet', 'Sam Barrett', 'Louis Vaughan', 'Jean Kartal', 'Os Leanse', 'Luke Smith', 'Nikolaos Brahimllari', 'Matt Malecki', 'Damian Rozanek', 'Antonio Bustorff', 'Ioachim Ciobanu', 'Michael Kosterin', 'Sergej Lopouchanski', 'Robert Luckay', 'Jadran Malkovich', 'Mikhail Safronov', 'Christopher Sciueref', 'Andrea Scarduzio', 'Barnaby Kay', 'Gloria Obianyo', 'Alex Brock', 'Kaye Dinauto', 'Dana Blacklake', 'Arevinth V Sarma', 'Doroteya Toleva', 'Lucia Tong', 'Hersha Verity', 'Yennis Cheung', 'Laura Vortler', 'Faycal Attougui', 'Gaetano Bruno', 'Marco Sincini', 'Evita Ciri', 'Melissa Anna Bartolini', 'John Akanmu', 'Marco Lascari', 'Simon Rizzoni', 'Nicolas Wang', 'Lee Bridgman', 'Daniella Carraturo', 'Katie Collins', 'Joanna Dyce', 'Taylor Goodridge', 'Jessica Holland', 'Philip Hulford', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Nicholas Tredrea', 'Megan Westpfel', 'Marc Wesley DeHaney', 'Rocky Taylor'","'Action', 'Thriller'",7.6
299054,Expend4bles,"'sequel', 'nuclear bomb', 'cargo ship', 'ring'",Scott Waugh,"'Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren', 'Iko Uwais', 'Andy García', 'Sylvester Stallone', 'Tony Jaa', 'Randy Couture', 'Jacob Scipio', 'Levy Tran', 'Lucy Newman-Williams', 'Daren Nop', 'Kenny ""Cowboy"" Bartram', 'Cody Mackie', 'Cokey Falkow', 'Dan Chupong', 'Karim Saidi', 'Samuel Black', 'Adam Masto', 'Sheila Shah', 'Nicole Andrews', 'Oat Jenner', 'Susanne Potrock', 'Eddie Hall', 'Mike Möller', 'Alexander Hristozov', 'Antoni Davidov', 'David Nop', 'Igor Pečenjev', 'Stefan Ivanov', 'Vladimir Mihailov', 'Martin Ghiaurov', 'Tjaša Perko', 'Stefan Bahrun', 'Assen Karanikolov', 'Caroline Wilde', 'Jason Lines'","'Action', 'Adventure', 'Thriller'",6.482
385687,Fast X,"'sequel', 'revenge', 'racing', 'family', 'cliffhanger', 'cars'",Louis Leterrier,"'Vin Diesel', 'Michelle Rodriguez', 'Tyrese Gibson', 'Ludacris', 'John Cena', 'Nathalie Emmanuel', 'Jordana Brewster', 'Sung Kang', 'Jason Momoa', 'Scott Eastwood', 'Daniela Melchior', 'Alan Ritchson', 'Helen Mirren', 'Brie Larson', 'Jason Statham', 'Charlize Theron', 'Rita Moreno', 'Joaquim de Almeida', 'Leo A. Perry', 'Luis Da Silva Jr.', 'Jaz Hutchins', 'Luka Hays', 'Alexander Capon', 'Pete Davidson', 'Shadrach Agozino', 'Ludmilla', 'Miraj Grbić', 'Meadow Walker Thornton-Allan', 'Michael Irby', 'Shahir Figueira', 'Ben-Hur Santos', 'Debby Ryan', 'Josh Dun', 'Dwayne Johnson', 'Gal Gadot', 'Paul Walker', 'Ali Baddou', 'Emily Buchan'","'Action', 'Crime', 'Thriller'",7.222
678512,Sound of Freedom,"'pedophilia', 'kidnapping', 'human trafficking', 'based on true story', 'scam', 'child kidnapping', 'grooming', 'lost children', 'children in danger', 'colombia'",Alejandro Gómez Monteverde,"'Jim Caviezel', 'Mira Sorvino', 'Bill Camp', 'Gerardo Taracena', 'Kurt Fuller', 'José Zúñiga', 'Eduardo Verástegui', 'Scott Haze', 'Yessica Borroto Perryman', 'Gary Basaraba', 'Manny Pérez', 'Gustavo Sánchez Parra', 'Javier Godino', 'James Quattrochi', 'Eduardo Gomez Monteverde', 'Gustavo Angarita Jr.', 'Ariel Sierra', 'Kris Avedisian', 'Alejandro Muela', 'Jaime Newball', 'Cristal Aparicio', 'Lucas Ávila', 'Samuel Livingston', 'Valerie Domínguez', 'Jairo Ordóñez'","'Action', 'Drama'",8.088
609681,The Marvels,"'hero', 'superhero', 'space travel', 'based on comic', 'sequel', 'teenage girl', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'space adventure'",Nia DaCosta,"'Brie Larson', 'Teyonah Parris', 'Iman Vellani', 'Zawe Ashton', 'Park Seo-jun', 'Samuel L. Jackson', 'Gary Lewis', 'Zenobia Shroff', 'Mohan Kapur', 'Saagar Shaikh', 'Lashana Lynch', 'Leila Farzad', 'Abraham Popoola', 'Daniel Ings', 'Alex Hughes', 'Shardiah Ssagala', 'Cecily Cleeve', 'Remi Dabiri-McQuaid', 'Ffion Jolly', 'Kennedy McCallum-Martin', 'Savannah Skinner-Henry', 'Rachel John', 'Daniel Monteiro', 'Kya Garwood', 'Fikayo Ifarajimi', 'Shereen Walker', 'Hansen Burton', 'Tessa Thompson', 'Hailee Steinfeld', 'Kelsey Grammer', 'Akira Akbar', 'Jude Law', 'Annette Bening'","'Action', 'Adventure', 'Science Fiction'",6.515
800158,The Killer,"'sniper', 'new york city', 'assassin', 'airport', 'new orleans, louisiana', 'dark comedy', 'client', 'product placement', 'sociopath', 'revenge', 'murder', 'fate', 'lawyer', 'brutality', 'based on graphic novel', 'character study', 'perfectionist', 'empathy', 'dominican republic', 'tampa, florida', 'manhunt', 'international manhunt', 'precision', 'gig economy', 'secret', 'violence', 'botched job'",David Fincher,"'Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', 'Kerry O'Malley', 'Sophie Charlotte', 'Emiliano Pernia', 'Gabriel Polanco', 'Sala Baker', 'Endre Hules', 'Bernard Bygott', 'Monique Ganderton', 'Daran Norris', 'Nikki Dixon', 'Paloma Palacio Colon', 'Lía Lockhart', 'Arturo Duvergé', 'Génesis Estévez', 'Leroy Edwards III', 'Kellan Rhude', 'Sacha Beaubier', 'Branden Mitch', 'Brandon Morales', 'Kyrstal Ortiz', 'Erik Hellman', 'Carlos Rogelio Diaz', 'Ilyssa Fradin', 'Julia Rowley', 'Jack Kesy', 'Eric Tolzmann', 'Jirus Tillman', 'Kev Morris Sr.', 'Brett C. Johnson', 'Tariq Azikiue', 'Jérôme Keen', 'Stéphane Vasseur', 'François Patissier', 'Dzianis Chpoutalau', 'Cécile Coves', 'Claire Patronikn', 'Lila Espinasse', 'Sara Mezouar', 'Zacharia Mezouar', 'Marie Bessière', 'Nino Viard', 'Antoine Matichard', 'Anna Cosmao', 'Alexandra Holzhammer'","'Crime', 'Thriller'",6.822
926393,The Equalizer 3,"'italy', 'vigilante justice', 'italian mafia'",Antoine Fuqua,"'Denzel Washington', 'Dakota Fanning', 'Eugenio Mastrandrea', 'David Denman', 'Gaia Scodellaro', 'Remo Girone', 'Andrea Scarduzio', 'Andrea Dodero', 'Daniele Perrone', 'Sonia Ammar', 'Manuela Tasciotti', 'Zakaria Hamza', 'Dea Lanzaro', 'Adolfo Margiotta', 'Niccolò Senni', 'Bruno Bilotta', 'Alessandro Press', 'Niccolò Fava', 'Alessandro Xavier De Silva', 'Adriano Sabrie', 'Valerio Da Silva', 'Gian Piero Rotoli', 'Isabella Delle Monache', 'Salvatore Ruocco', 'Daniele Ornatelli', 'Luigi Catani', 'Giovanni Trombetta', 'Gianluigi Scilla', 'Danilo Capuzi', 'Giovanni Scotti', 'Marta Zoffoli', 'Marco Giuliani', 'Simona Distefano', 'Mauro Cremonini', 'Arcangelo Iannace', 'Beatrice Aiello', 'Agostino Chiummariello', 'Mariarosaria Mingione', 'Marco Cicalese', 'Diego Riace', 'Lucia Zotti', 'Cristiano Pittarello', 'Melissa Leo'","'Action', 'Thriller', 'Crime'",7.439
951491,Saw X,"'mexico city, mexico', 'sadism', 'riddle', 'gore', 'sequel', 'con artist', 'scam', 'serial killer', 'torture', 'survival horror', 'duringcreditsstinger', 'franchise', 'jigsaw', 'saw', 'death game'",Kevin Greutert,"'Tobin Bell', 'Shawnee Smith', 'Synnøve Macody Lund', 'Steven Brand', 'Renata Vaca', 'Joshua Okamoto', 'Octavio Hinojosa Martínez', 'Paulette Hernández', 'Jorge Briseño', 'Costas Mandylor', 'Michael Beach', 'Isan Beomhyun Lee', 'David Alfano', 'Katie Barberi', 'Lucía Gómez-Robledo', 'Donagh Gordon', 'Sebastián Torres', 'Cristo Ruiz', 'Baltimore Beltrán', 'Kerry Ardra', 'Natasha Goss', 'Craig Hurley', 'James Burg', 'Bailey Guidry'","'Horror', 'Thriller'",7.414
